Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
MOLSI,VIT,104,1.1,234.4,1.22,87%,147.2,0.86,0.51,0.07,0.05,25%,,0/9,27,89,73,53,7,5
kiNgg,LEV,125,1.1,211.3,1.16,75%,147.9,0.76,0.42,0.11,0.08,29%,38%,6/16,27,95,82,52,14,10
Alfajer,FNC,307,1.09,201.1,1.18,77%,138.2,0.72,0.21,0.07,0.06,27%,14%,6/44,21,221,187,66,21,18
Emman,RRQ,40,1.09,233,1.1,83%,159.7,0.8,0.45,0.1,0.08,35%,,0/5,21,32,29,18,4,3
keloqz,TH,42,1.08,251.5,1.15,76%,155.9,0.9,0.12,0.24,0.17,36%,,0/6,23,38,33,5,10,7
murizzz,MIBR,45,1.08,199.5,1.03,71%,132.5,0.71,0.58,0.11,0.11,34%,33%,1/3,17,32,31,26,5,5
Mixwell,TH,42,1.08,223,0.88,79%,137.5,0.71,0.62,0.07,0.05,25%,33%,1/3,16,30,34,26,3,2
TS,GEN,48,1.08,193,1.16,75%,116.1,0.77,0.5,0.08,0.13,13%,,0/5,27,37,32,24,4,6
dgzin,FUR,76,1.07,233.3,1.21,71%,146.2,0.84,0.18,0.21,0.17,26%,13%,1/8,27,64,53,14,16,13
Tacolilla,LEV,125,1.07,222.8,1.05,68%,136.9,0.73,0.18,0.18,0.18,15%,33%,3/9,22,91,87,23,23,22
ceNder,VIT,104,1.07,233.8,1.16,70%,150.9,0.82,0.18,0.09,0.09,29%,20%,4/20,24,85,73,19,9,9
BcJ,EG,89,1.06,192.3,0.93,78%,123,0.63,0.56,0.04,0.13,16%,17%,2/12,17,56,60,50,4,12
JessieVash,TS,79,1.06,258,1.06,75%,170.1,0.9,0.32,0.11,0.13,31%,10%,1/10,21,71,67,25,9,10
invy,TS,79,1.06,200.5,1,75%,127.2,0.73,0.38,0.04,0.1,24%,33%,4/12,21,58,58,30,3,8
Boaster,FNC,307,1.05,188.3,0.96,78%,111.8,0.64,0.41,0.1,0.12,19%,25%,4/16,20,196,204,125,31,38
garnetS,TLN,157,1.05,230,1.09,71%,152.2,0.82,0.15,0.19,0.11,24%,22%,2/9,21,128,117,24,30,17
MOJJ,FUT,107,1.05,206.8,1,67%,138.1,0.69,0.25,0.09,0.09,26%,19%,3/16,20,74,74,27,10,10
cauanzin,LOUD,380,1.05,207.1,1.01,73%,130.8,0.74,0.43,0.09,0.08,23%,23%,6/26,25,280,276,163,35,30
YuChEn,FPX,59,1.05,189.3,0.95,76%,125.4,0.68,0.34,0.05,0.12,34%,,0/10,18,40,42,20,3,7
BuZz,DRX,276,1.04,238.1,1.13,73%,147.9,0.82,0.2,0.2,0.17,20%,15%,3/20,21,227,201,56,55,47
jawgemo,EG,89,1.03,220.5,1.08,72%,140.8,0.79,0.19,0.21,0.15,19%,60%,3/5,20,70,65,17,19,13
SUYGETSU,NAVI,182,1.03,198.2,1.12,74%,135.5,0.69,0.26,0.09,0.05,38%,16%,3/19,18,125,112,48,16,10
ZmjjKK,EDG,71,1.03,238.7,1.24,72%,144.4,0.87,0.15,0.23,0.15,21%,20%,1/5,25,62,50,11,16,11
Zellsis,C9,89,1.03,198,0.94,75%,138.3,0.65,0.42,0.08,0.16,19%,13%,1/8,14,58,62,37,7,14
Rb,DRX,276,1.02,191.6,1.06,73%,126.6,0.68,0.28,0.09,0.08,23%,31%,12/39,22,187,177,77,24,23
